dataset,loss,zlib,mink_0.1,mink_0.2,mink_0.3,mink_0.4,mink_0.5,mink_0.6,mink_0.7,mink_0.8,mink_0.9,mink_1.0,minkpp_0.1,minkpp_0.2,minkpp_0.3,minkpp_0.4,minkpp_0.5,minkpp_0.6,minkpp_0.7,minkpp_0.8,minkpp_0.9,minkpp_1.0,minkpp_0.8_auroc,minkpp_0.8_signal
mmlu_redux_all,-3.097719,-0.043215,-9.590092,-8.261489,-7.229763,-6.246147,-5.445907,-4.911849,-4.419328,-3.945066,-3.552512,-3.097478,-2.592119,-1.998105,-1.609491,-1.171643,-0.886564,-0.715991,-0.560998,-0.425074,-0.300385,-0.144415,,
controlled_dataset_english,-2.662786,-0.015444,-8.754714,-7.345414,-6.373268,-5.550017,-4.861841,-4.294622,-3.791387,-3.354437,-2.993965,-2.662773,-2.98221,-2.047408,-1.537699,-1.169862,-0.910073,-0.727592,-0.575304,-0.444253,-0.328314,-0.197223,,
controlled_dataset_russian,-2.41587,-0.008932,-8.982127,-7.522663,-6.392593,-5.437466,-4.631131,-3.998684,-3.468999,-3.041572,-2.705363,-2.415844,-2.380815,-1.61752,-1.180744,-0.882563,-0.683481,-0.546453,-0.430592,-0.327702,-0.232346,-0.119004,,
controlled_dataset_kazakh,-2.284837,-0.008216,-8.679479,-6.989746,-5.894436,-5.028371,-4.308579,-3.732462,-3.252613,-2.862468,-2.54969,-2.284913,-2.814413,-1.884751,-1.362195,-1.009314,-0.77477,-0.608672,-0.474206,-0.35977,-0.256963,-0.14543,,
mmlu_all,-2.97931,-0.034931,-9.263167,-7.861743,-6.862845,-6.023232,-5.269766,-4.742967,-4.233877,-3.778403,-3.403488,-2.979344,-2.535892,-1.822513,-1.398163,-1.059062,-0.805544,-0.641699,-0.483893,-0.353165,-0.240881,-0.096202,0.6138,weak signal
mmlu_pro_all,-2.296787,-0.022679,-8.52004,-6.777978,-5.673406,-4.897564,-4.18584,-3.686213,-3.289227,-2.905968,-2.599896,-2.296744,-2.836551,-1.871316,-1.325756,-1.00404,-0.749093,-0.58131,-0.448464,-0.322201,-0.215809,-0.08702,0.6683,moderate — possible contamination
mmlu_cf_all,-3.115414,-0.043256,-9.825505,-8.443094,-7.36506,-6.37393,-5.570815,-5.009067,-4.453952,-3.965084,-3.562236,-3.115558,-2.733943,-1.980815,-1.512112,-1.153152,-0.896168,-0.722916,-0.566244,-0.427557,-0.310747,-0.154222,0.5643,weak signal
rummlu_all,-2.708021,-0.018618,-9.021568,-7.51349,-6.506534,-5.644676,-4.930974,-4.378642,-3.862056,-3.420209,-3.062391,-2.707901,-2.232731,-1.520966,-1.108096,-0.824719,-0.627405,-0.493124,-0.372904,-0.265517,-0.168619,-0.047524,0.6291,weak signal
MMLU_RUS_Translation,-2.731085,-0.019387,-9.071503,-7.657436,-6.640164,-5.81889,-5.037775,-4.431727,-3.930863,-3.459558,-3.091803,-2.73096,-2.072378,-1.45621,-1.076087,-0.814373,-0.621698,-0.479284,-0.368483,-0.257652,-0.161066,-0.039445,0.6449,weak signal
kazmmlu_all,-3.027237,-0.032961,-9.097368,-7.715941,-6.745386,-5.9866,-5.292503,-4.767613,-4.278719,-3.81102,-3.445835,-3.026982,-2.62808,-1.872389,-1.386393,-1.058301,-0.808411,-0.647631,-0.509357,-0.381729,-0.274385,-0.136639,0.4995,no signal
MMLU_KAZ_Translation,-2.424516,-0.018164,-8.418817,-6.805173,-5.802736,-5.031434,-4.378929,-3.876826,-3.42966,-3.046827,-2.726565,-2.424515,-2.414681,-1.612435,-1.161481,-0.864971,-0.653544,-0.506276,-0.383223,-0.275456,-0.175315,-0.061902,0.6917,moderate — possible contamination
