dataset,loss,zlib,mink_0.1,mink_0.2,mink_0.3,mink_0.4,mink_0.5,mink_0.6,mink_0.7,mink_0.8,mink_0.9,mink_1.0,minkpp_0.1,minkpp_0.2,minkpp_0.3,minkpp_0.4,minkpp_0.5,minkpp_0.6,minkpp_0.7,minkpp_0.8,minkpp_0.9,minkpp_1.0
controlled_dataset_english,-2.497974,-0.014497,-8.684396,-7.159062,-6.124487,-5.293628,-4.600587,-4.049275,-3.566629,-3.149664,-2.809024,-2.497916,-3.366635,-2.290118,-1.715653,-1.313161,-1.030729,-0.832904,-0.670236,-0.530486,-0.40801,-0.272948
controlled_dataset_russian,-2.147891,-0.007946,-8.89101,-7.294787,-6.042534,-5.018646,-4.200753,-3.588214,-3.092926,-2.705697,-2.405207,-2.147603,-2.703529,-1.800761,-1.293768,-0.965447,-0.754566,-0.613021,-0.495873,-0.391585,-0.294771,-0.181788
controlled_dataset_kazakh,-2.025624,-0.007288,-8.372894,-6.721058,-5.591955,-4.677761,-3.930851,-3.356433,-2.900551,-2.542104,-2.260972,-2.02545,-3.078944,-2.023213,-1.440576,-1.071513,-0.834776,-0.670966,-0.538181,-0.423753,-0.321861,-0.210889
mmlu_all,-2.809851,-0.033871,-9.069399,-7.64845,-6.617535,-5.770992,-5.022815,-4.50621,-4.015016,-3.578466,-3.225743,-2.809608,-2.505435,-1.793749,-1.377958,-1.042393,-0.795125,-0.634664,-0.476448,-0.349515,-0.24048,-0.095061
mmlu_pro_all,-2.157872,-0.021405,-8.364933,-6.585808,-5.464042,-4.691722,-3.992695,-3.499156,-3.109687,-2.737388,-2.443993,-2.157571,-3.138301,-2.014236,-1.411429,-1.067785,-0.803625,-0.62961,-0.493782,-0.367259,-0.258998,-0.130006
mmlu_cf_all,-2.955922,-0.041102,-9.725932,-8.31416,-7.163106,-6.164713,-5.354428,-4.789497,-4.242255,-3.768214,-3.383237,-2.955914,-2.874583,-2.069246,-1.571048,-1.19987,-0.926014,-0.750515,-0.589509,-0.450641,-0.333041,-0.174302
mmlu_redux_all,-2.933475,-0.041325,-9.273045,-8.020131,-6.962009,-5.992823,-5.222162,-4.684919,-4.206494,-3.745425,-3.364177,-2.93327,-2.608114,-2.02816,-1.631608,-1.196802,-0.915891,-0.740244,-0.582702,-0.443693,-0.319138,-0.164036
rummlu_all,-2.529743,-0.017755,-9.095382,-7.49317,-6.338759,-5.420601,-4.694453,-4.146711,-3.635521,-3.204106,-2.863412,-2.529545,-2.719129,-1.833273,-1.335957,-0.996869,-0.770198,-0.619523,-0.485523,-0.370146,-0.26791,-0.142805
MMLU_RUS_Translation,-2.54227,-0.018305,-8.785306,-7.450301,-6.426749,-5.567734,-4.767805,-4.159585,-3.677153,-3.225853,-2.882978,-2.542245,-2.298282,-1.608893,-1.159828,-0.88072,-0.670988,-0.526762,-0.415262,-0.30286,-0.208093,-0.087601
kazmmlu_all,-2.764805,-0.030249,-9.028825,-7.512391,-6.473608,-5.693364,-4.978558,-4.445641,-3.961292,-3.496173,-3.152817,-2.76451,-2.919094,-1.995104,-1.470006,-1.117369,-0.871384,-0.704513,-0.56516,-0.436606,-0.328918,-0.191825
MMLU_KAZ_Translation,-2.124965,-0.016064,-8.214823,-6.517779,-5.477739,-4.662918,-3.983723,-3.469694,-3.034615,-2.680421,-2.389602,-2.12486,-2.560484,-1.67689,-1.195056,-0.884374,-0.675192,-0.532851,-0.41346,-0.310203,-0.212875,-0.10322
